idsensore,date,value
19019,2013-10-29T00:00:00.000,2.0481
19019,2013-10-30T00:00:00.000,1.2894
19019,2013-10-31T00:00:00.000,1.5876
19019,2013-11-01T00:00:00.000,0.5756
19019,2013-11-02T00:00:00.000,0.7
19019,2013-11-03T00:00:00.000,0.9121
19019,2013-11-04T00:00:00.000,1.6559
19019,2013-11-05T00:00:00.000,0.9667
19019,2013-11-06T00:00:00.000,1.3094
19019,2013-11-07T00:00:00.000,1.0026
19019,2013-11-08T00:00:00.000,1.18
19019,2013-11-09T00:00:00.000,0.9253
19019,2013-11-10T00:00:00.000,1.8402
19019,2013-11-11T00:00:00.000,1.7164
19019,2013-11-12T00:00:00.000,0.6656
19019,2013-11-13T00:00:00.000,0.5993
19019,2013-11-14T00:00:00.000,1.6336
19019,2013-11-15T00:00:00.000,1.0688
19019,2013-11-16T00:00:00.000,0.9373
19019,2013-11-17T00:00:00.000,0.8706
19019,2013-11-18T00:00:00.000,0.7926
19019,2013-11-19T00:00:00.000,0.8776
19019,2013-11-20T00:00:00.000,1.3626
19019,2013-11-21T00:00:00.000,2.9938
19019,2013-11-22T00:00:00.000,1.1581
19019,2013-11-23T00:00:00.000,0.7431
19019,2013-11-24T00:00:00.000,0.9869
19019,2013-11-25T00:00:00.000,1.0333
19019,2013-11-26T00:00:00.000,0.9028
19019,2013-11-27T00:00:00.000,0.7069
19019,2013-11-28T00:00:00.000,1.111
19019,2013-11-29T00:00:00.000,0.6171
19019,2013-11-30T00:00:00.000,1.2211
19019,2013-12-01T00:00:00.000,0.6618
19019,2013-12-02T00:00:00.000,0.6789
19019,2013-12-03T00:00:00.000,0.5435
19019,2013-12-04T00:00:00.000,0.8429
19019,2013-12-05T00:00:00.000,0.7494
19019,2013-12-06T00:00:00.000,1.6207
19019,2013-12-07T00:00:00.000,0.9331
19019,2013-12-08T00:00:00.000,0.6222
19019,2013-12-09T00:00:00.000,0.6653
19019,2013-12-10T00:00:00.000,0.5842
19019,2013-12-11T00:00:00.000,0.6989
19019,2013-12-12T00:00:00.000,0.564
19019,2013-12-13T00:00:00.000,0.7338
19019,2013-12-14T00:00:00.000,0.7547
19019,2013-12-15T00:00:00.000,0.7879
19019,2013-12-16T00:00:00.000,0.6388
19019,2013-12-17T00:00:00.000,0.6759
19019,2013-12-18T00:00:00.000,0.4874
19019,2013-12-19T00:00:00.000,0.823
19019,2013-12-20T00:00:00.000,1.0474
19019,2013-12-21T00:00:00.000,0.5581
19019,2013-12-22T00:00:00.000,0.5008
19019,2013-12-23T00:00:00.000,0.8544
19019,2013-12-24T00:00:00.000,2.3516
19019,2013-12-25T00:00:00.000,4.7943
19019,2013-12-26T00:00:00.000,3.999
19019,2013-12-27T00:00:00.000,0.7322
19019,2013-12-28T00:00:00.000,0.9331
19019,2013-12-29T00:00:00.000,0.8419
19019,2013-12-30T00:00:00.000,0.7606
19019,2013-12-31T00:00:00.000,0.5876
19019,2014-01-01T00:00:00.000,0.4882
19019,2014-01-02T00:00:00.000,0.7459
19019,2014-01-03T00:00:00.000,0.9131
19019,2014-01-04T00:00:00.000,1.0597
19019,2014-01-05T00:00:00.000,0.8325
19019,2014-01-06T00:00:00.000,0.4867
19019,2014-01-07T00:00:00.000,0.5188
19019,2014-01-08T00:00:00.000,0.8222
19019,2014-01-09T00:00:00.000,0.6886
19019,2014-01-10T00:00:00.000,0.828
19019,2014-01-11T00:00:00.000,0.81
19019,2014-01-12T00:00:00.000,1.0552
19019,2014-01-13T00:00:00.000,1.3044
19019,2014-01-14T00:00:00.000,1.2825
19019,2014-01-15T00:00:00.000,1.0027
19019,2014-01-16T00:00:00.000,0.6833
19019,2014-01-17T00:00:00.000,1.0949
19019,2014-01-18T00:00:00.000,0.7076
19019,2014-01-19T00:00:00.000,0.4813
19019,2014-01-20T00:00:00.000,0.6487
19019,2014-01-21T00:00:00.000,0.5496
19019,2014-01-22T00:00:00.000,0.5218
19019,2014-01-23T00:00:00.000,0.5661
19019,2014-01-24T00:00:00.000,1.4594
19019,2014-01-25T00:00:00.000,0.8672
19019,2014-01-26T00:00:00.000,1.8451
19019,2014-01-27T00:00:00.000,1.6476
19019,2014-01-28T00:00:00.000,0.8776
19019,2014-01-29T00:00:00.000,1.3382
19019,2014-01-30T00:00:00.000,0.789
19019,2014-01-31T00:00:00.000,0.9177
19019,2014-02-01T00:00:00.000,0.7423
19019,2014-02-02T00:00:00.000,0.8639
19019,2014-02-03T00:00:00.000,1.1266
19019,2014-02-04T00:00:00.000,1.7378
19019,2014-02-05T00:00:00.000,1.9484
19019,2014-02-06T00:00:00.000,0.8649
19019,2014-02-07T00:00:00.000,1.1573
19019,2014-02-08T00:00:00.000,1.1532
19019,2014-02-09T00:00:00.000,1.345
19019,2014-02-10T00:00:00.000,2.3569
19019,2014-02-11T00:00:00.000,0.997
19019,2014-02-12T00:00:00.000,1.6618
19019,2014-02-13T00:00:00.000,1.1007
19019,2014-02-14T00:00:00.000,1.0386
19019,2014-02-15T00:00:00.000,0.5465
19019,2014-02-16T00:00:00.000,0.6362
19019,2014-02-17T00:00:00.000,0.7662
19019,2014-02-18T00:00:00.000,1.0203
19019,2014-02-19T00:00:00.000,1.0414
19019,2014-02-20T00:00:00.000,0.8816
19019,2014-02-21T00:00:00.000,0.7728
19019,2014-02-22T00:00:00.000,1.159
19019,2014-02-23T00:00:00.000,1.0945
19019,2014-02-24T00:00:00.000,0.621
19019,2014-02-25T00:00:00.000,0.8062
19019,2014-02-26T00:00:00.000,1.3296
19019,2014-02-27T00:00:00.000,0.7392
19019,2014-02-28T00:00:00.000,1.81
19019,2014-03-01T00:00:00.000,1.6079
19019,2014-03-02T00:00:00.000,1.0263
19019,2014-03-03T00:00:00.000,1.0185
19019,2014-03-04T00:00:00.000,1.4961
19019,2014-03-05T00:00:00.000,0.9892
19019,2014-03-06T00:00:00.000,0.7581
19019,2014-03-07T00:00:00.000,0.8753
19019,2014-03-08T00:00:00.000,1.3627
19019,2014-03-09T00:00:00.000,0.7699
19019,2014-03-10T00:00:00.000,1.3842
19019,2014-03-11T00:00:00.000,1.2299
19019,2014-03-12T00:00:00.000,0.6964
19019,2014-03-13T00:00:00.000,0.7817
19019,2014-03-14T00:00:00.000,0.576
19019,2014-03-15T00:00:00.000,1.3036
19019,2014-03-16T00:00:00.000,1.3904
19019,2014-03-17T00:00:00.000,1.0701
19019,2014-03-18T00:00:00.000,1.4115
19019,2014-03-19T00:00:00.000,2.1355
19019,2014-03-20T00:00:00.000,1.5231
19019,2014-03-21T00:00:00.000,1.1004
19019,2014-03-22T00:00:00.000,2.2502
19019,2014-03-23T00:00:00.000,2.2032
19019,2014-03-24T00:00:00.000,1.816
19019,2014-03-25T00:00:00.000,1.8791
19019,2014-03-26T00:00:00.000,1.1751
19019,2014-03-27T00:00:00.000,1.014
19019,2014-03-28T00:00:00.000,0.7912
19019,2014-03-29T00:00:00.000,0.7856
19019,2014-03-30T00:00:00.000,0.6231
19019,2014-03-31T00:00:00.000,1.2581
19019,2014-04-01T00:00:00.000,1.7385
19019,2014-04-02T00:00:00.000,1.4365
19019,2014-04-03T00:00:00.000,1.0585
19019,2014-04-04T00:00:00.000,1.2003
19019,2014-04-05T00:00:00.000,1.4066
19019,2014-04-06T00:00:00.000,0.9659
19019,2014-04-07T00:00:00.000,0.9497
19019,2014-04-08T00:00:00.000,1.2417
19019,2014-04-09T00:00:00.000,1.6752
19019,2014-04-10T00:00:00.000,1.4467
19019,2014-04-11T00:00:00.000,2.191
19019,2014-04-12T00:00:00.000,2.1224
19019,2014-04-13T00:00:00.000,1.6582
19019,2014-04-14T00:00:00.000,1.886
19019,2014-04-15T00:00:00.000,3.0933
19019,2014-04-16T00:00:00.000,1.5648
19019,2014-04-17T00:00:00.000,1.0481
19019,2014-04-18T00:00:00.000,1.0219
19019,2014-04-19T00:00:00.000,1.4906
19019,2014-04-20T00:00:00.000,1.2294
19019,2014-04-21T00:00:00.000,1.3207
19019,2014-04-22T00:00:00.000,0.654
19019,2014-04-23T00:00:00.000,1.0029
19019,2014-04-24T00:00:00.000,1.0453
19019,2014-04-25T00:00:00.000,0.9358
19019,2014-04-26T00:00:00.000,1.447
19019,2014-04-27T00:00:00.000,2.1124
19019,2014-04-28T00:00:00.000,0.8596
19019,2014-04-29T00:00:00.000,1.0201
19019,2014-04-30T00:00:00.000,1.3976
19019,2014-05-01T00:00:00.000,1.174
19019,2014-05-02T00:00:00.000,1.3995
19019,2014-05-03T00:00:00.000,1.0647
19019,2014-05-04T00:00:00.000,0.9783
19019,2014-05-05T00:00:00.000,1.8106
19019,2014-05-06T00:00:00.000,1.4849
19019,2014-05-07T00:00:00.000,1.1122
19019,2014-05-08T00:00:00.000,1.1143
19019,2014-05-09T00:00:00.000,0.829
19019,2014-05-10T00:00:00.000,1.352
19019,2014-05-11T00:00:00.000,1.8616
19019,2014-05-12T00:00:00.000,1.6526
19019,2014-05-13T00:00:00.000,1.6406
19019,2014-05-14T00:00:00.000,2.8393
19019,2014-05-15T00:00:00.000,2.1084
19019,2014-05-16T00:00:00.000,1.2686
19019,2014-05-17T00:00:00.000,1.2643
19019,2014-05-18T00:00:00.000,1.5269
19019,2014-05-19T00:00:00.000,1.2196
19019,2014-05-20T00:00:00.000,1.175
19019,2014-05-21T00:00:00.000,0.8191
19019,2014-05-22T00:00:00.000,1.5404
19019,2014-05-23T00:00:00.000,1.6158
